asset_id,asset_type,sub_type,division_code,section_code,corridor_id,km_start,km_end,line_category,traffic_density_class,created_at,updated_at
1,signal,LC_gate,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,89.088,89.106,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
2,signal,IBS,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,8.110,8.136,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
3,traction,AT,PRYJ,ALD-MZP,NCR-PRYJ-MGS,678.506,680.635,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
4,track,LWR,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,22.956,24.375,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
5,signal,IBS,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,9.230,9.274,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
6,signal,axle_counter,PRYJ,ALD-MZP,NCR-PRYJ-MGS,659.822,659.894,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
7,track,P&C,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,12.410,17.198,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
8,traction,OHE,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,0.572,0.835,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
9,track,SEJ,PRYJ,ALD-MZP,NCR-PRYJ-MGS,640.014,640.917,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
10,traction,mast,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,5.937,6.979,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
11,traction,SSP,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,5.125,6.575,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
12,track,rail,PRYJ,ALD-MZP,NCR-PRYJ-MGS,693.782,698.449,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
13,signal,EI,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,10.819,10.874,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
14,signal,track_circuit,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,9.484,9.545,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
15,traction,mast,PRYJ,ALD-MZP,NCR-PRYJ-MGS,662.624,662.936,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
16,signal,LC_gate,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,68.237,68.238,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
17,signal,axle_counter,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,6.196,6.218,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
18,traction,jumper,PRYJ,ALD-MZP,NCR-PRYJ-MGS,635.620,636.863,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
19,traction,isolator,PRYJ,PYRJ-MIU,NCR-PRYJ-MKP,59.901,60.652,B,C,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
20,track,sleeper,PRYJ,PYRJ-ALD,NCR-PRYJ-CITY,4.220,5.335,suburban,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
21,track,LWR,PRYJ,ALD-MZP,NCR-PRYJ-MGS,688.954,691.636,A,A,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
