id,block_id,task_id,department,planned_duration_min,sequence_order,created_at
1,1,91,S&T,75,1,2026-09-10T08:16:21+00:00
2,1,127,P.Way,150,2,2026-09-10T08:16:21+00:00
3,2,101,TRD,180,1,2026-09-10T08:16:21+00:00
4,2,25,TRD,180,2,2026-09-10T08:16:21+00:00
5,3,108,P.Way,210,1,2026-09-10T08:16:21+00:00
6,3,86,S&T,90,2,2026-09-10T08:16:21+00:00
7,4,60,TRD,240,1,2026-09-10T08:16:21+00:00
8,4,102,S&T,75,2,2026-09-10T08:16:21+00:00
9,4,7,S&T,35,3,2026-09-10T08:16:21+00:00
10,5,79,S&T,105,1,2026-09-10T08:16:21+00:00
11,5,5,P.Way,180,2,2026-09-10T08:16:21+00:00
12,5,22,S&T,60,3,2026-09-10T08:16:21+00:00
13,6,75,S&T,105,1,2026-09-10T08:16:21+00:00
14,6,131,TRD,150,2,2026-09-10T08:16:21+00:00
15,7,117,TRD,180,1,2026-09-10T08:16:21+00:00
16,7,103,P.Way,165,2,2026-09-10T08:16:21+00:00
17,7,100,S&T,15,3,2026-09-10T08:16:21+00:00
18,8,12,P.Way,165,1,2026-09-10T08:16:21+00:00
19,8,44,P.Way,180,2,2026-09-10T08:16:21+00:00
20,9,99,S&T,105,1,2026-09-10T08:16:21+00:00
21,9,6,TRD,225,2,2026-09-10T08:16:21+00:00
22,10,111,P.Way,195,1,2026-09-10T08:16:21+00:00
23,10,119,TRD,165,2,2026-09-10T08:16:21+00:00
24,11,121,TRD,240,1,2026-09-10T08:16:21+00:00
25,11,109,S&T,105,2,2026-09-10T08:16:21+00:00
26,11,97,S&T,15,3,2026-09-10T08:16:21+00:00
27,12,50,TRD,150,1,2026-09-10T08:16:21+00:00
28,12,67,P.Way,75,2,2026-09-10T08:16:21+00:00
29,13,66,S&T,120,1,2026-09-10T08:16:21+00:00
30,13,123,TRD,225,2,2026-09-10T08:16:21+00:00
31,14,81,S&T,105,1,2026-09-10T08:16:21+00:00
32,14,106,P.Way,180,2,2026-09-10T08:16:21+00:00
33,14,39,S&T,50,3,2026-09-10T08:16:21+00:00
34,15,73,P.Way,60,1,2026-09-10T08:16:21+00:00
35,15,24,TRD,180,2,2026-09-10T08:16:21+00:00
36,15,52,P.Way,60,3,2026-09-10T08:16:21+00:00
37,15,128,S&T,45,4,2026-09-10T08:16:21+00:00
38,16,78,TRD,135,1,2026-09-10T08:16:21+00:00
39,16,31,S&T,120,2,2026-09-10T08:16:21+00:00
40,16,83,S&T,90,3,2026-09-10T08:16:21+00:00
41,17,29,P.Way,165,1,2026-09-10T08:16:21+00:00
42,17,11,S&T,90,2,2026-09-10T08:16:21+00:00
43,17,16,S&T,105,3,2026-09-10T08:16:21+00:00
44,18,46,P.Way,90,1,2026-09-10T08:16:21+00:00
45,18,95,S&T,150,2,2026-09-10T08:16:21+00:00
46,18,120,P.Way,75,3,2026-09-10T08:16:21+00:00
47,18,62,TRD,45,4,2026-09-10T08:16:21+00:00
48,19,118,S&T,80,1,2026-09-10T08:16:21+00:00
49,19,8,S&T,80,2,2026-09-10T08:16:21+00:00
50,19,43,P.Way,105,3,2026-09-10T08:16:21+00:00
51,20,112,TRD,240,1,2026-09-10T08:16:21+00:00
52,20,64,S&T,105,2,2026-09-10T08:16:21+00:00
53,21,37,TRD,75,1,2026-09-10T08:16:21+00:00
54,21,53,P.Way,60,2,2026-09-10T08:16:21+00:00
55,22,57,P.Way,105,1,2026-09-10T08:16:21+00:00
56,22,122,TRD,75,2,2026-09-10T08:16:21+00:00
57,23,107,P.Way,135,1,2026-09-10T08:16:21+00:00
58,23,18,S&T,40,2,2026-09-10T08:16:21+00:00
59,24,10,TRD,105,1,2026-09-10T08:16:21+00:00
60,24,14,S&T,55,2,2026-09-10T08:16:21+00:00
61,24,82,P.Way,15,3,2026-09-10T08:16:21+00:00
62,25,94,TRD,105,1,2026-09-10T08:16:21+00:00
63,25,68,S&T,50,2,2026-09-10T08:16:21+00:00
64,26,20,P.Way,120,1,2026-09-10T08:16:21+00:00
65,26,36,TRD,60,2,2026-09-10T08:16:21+00:00
66,27,71,S&T,80,1,2026-09-10T08:16:21+00:00
67,27,104,P.Way,90,2,2026-09-10T08:16:21+00:00
68,28,124,TRD,105,1,2026-09-10T08:16:21+00:00
69,28,88,P.Way,60,2,2026-09-10T08:16:21+00:00
70,29,87,TRD,90,1,2026-09-10T08:16:21+00:00
71,29,56,S&T,75,2,2026-09-10T08:16:21+00:00
72,30,33,S&T,80,1,2026-09-10T08:16:21+00:00
73,30,136,S&T,90,2,2026-09-10T08:16:21+00:00
