block_id,corridor_id,section_code,km_start,km_end,block_date,start_time,end_time,duration_min,block_type,departments_involved,status,planned_tasks_count,estimated_train_impact,created_by,created_at,updated_at
1,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-10,22:30:00,04:30:00,225,power,"{""P.Way"",""S&T""}",approved,2,43.38,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
2,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-10,22:30:00,04:30:00,360,caution,"{""TRD""}",approved,2,24.83,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
3,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-10,22:30:00,04:30:00,300,absolute,"{""P.Way"",""S&T""}",approved,2,85.61,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
4,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-11,22:30:00,04:30:00,350,power,"{""S&T"",""TRD""}",approved,3,46.67,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
5,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-11,22:30:00,04:30:00,345,power,"{""P.Way"",""S&T""}",approved,3,30.39,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
6,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-11,22:30:00,04:30:00,255,absolute,"{""S&T"",""TRD""}",approved,2,81.31,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
7,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-12,22:30:00,04:30:00,360,absolute,"{""P.Way"",""S&T"",""TRD""}",planned,3,45.10,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
8,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-12,22:30:00,04:30:00,345,absolute,"{""P.Way""}",approved,2,32.59,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
9,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-12,22:30:00,04:30:00,330,absolute,"{""S&T"",""TRD""}",planned,2,80.65,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
10,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-13,22:30:00,04:30:00,360,absolute,"{""P.Way"",""TRD""}",planned,2,40.05,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
11,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-13,22:30:00,04:30:00,360,caution,"{""S&T"",""TRD""}",draft,3,22.04,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
12,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-13,22:30:00,04:30:00,225,absolute,"{""P.Way"",""TRD""}",planned,2,85.18,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
13,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-14,22:30:00,04:30:00,345,absolute,"{""S&T"",""TRD""}",planned,2,40.27,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
14,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-14,22:30:00,04:30:00,335,absolute,"{""P.Way"",""S&T""}",planned,3,20.52,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
15,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-14,22:30:00,04:30:00,345,absolute,"{""P.Way"",""S&T"",""TRD""}",planned,4,75.09,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
16,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-15,22:30:00,04:30:00,345,absolute,"{""S&T"",""TRD""}",planned,3,37.53,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
17,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-15,22:30:00,04:30:00,360,absolute,"{""P.Way"",""S&T""}",approved,3,21.67,synthetic-generator,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
