window_id,corridor_id,section_code,km_start,km_end,valid_date,start_time,end_time,block_type_allowed,max_duration_min,train_impact_score,freight_traffic_level,source,created_at,updated_at
1,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-10,22:30:00,04:30:00,power,360,43.38,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
2,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-10,22:30:00,04:30:00,caution,360,24.83,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
3,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-10,22:30:00,04:30:00,absolute,360,85.61,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
4,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-11,22:30:00,04:30:00,power,360,46.67,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
5,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-11,22:30:00,04:30:00,power,360,30.39,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
6,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-11,22:30:00,04:30:00,absolute,360,81.31,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
7,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-12,22:30:00,04:30:00,any,360,45.10,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
8,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-12,22:30:00,04:30:00,any,360,32.59,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
9,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-12,22:30:00,04:30:00,absolute,360,80.65,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
10,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-13,22:30:00,04:30:00,absolute,360,40.05,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
11,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-13,22:30:00,04:30:00,caution,360,22.04,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
12,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-13,22:30:00,04:30:00,absolute,360,85.18,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
13,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-14,22:30:00,04:30:00,any,360,40.27,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
14,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-14,22:30:00,04:30:00,any,360,20.52,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
15,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-14,22:30:00,04:30:00,any,360,75.09,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
16,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-15,22:30:00,04:30:00,any,360,37.53,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
17,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-15,22:30:00,04:30:00,any,360,21.67,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
18,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-15,22:30:00,04:30:00,power,360,72.25,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
19,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-16,22:30:00,04:30:00,absolute,360,37.81,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
20,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-16,22:30:00,04:30:00,caution,360,22.69,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
21,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-16,22:30:00,04:30:00,absolute,360,83.15,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
22,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-10,00:45:00,03:45:00,absolute,180,48.40,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
23,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-10,00:45:00,03:45:00,absolute,180,49.59,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
24,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-10,00:45:00,03:45:00,absolute,180,41.71,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
25,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-11,00:45:00,03:45:00,absolute,180,35.23,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
26,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-11,00:45:00,03:45:00,absolute,180,39.19,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
27,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-11,00:45:00,03:45:00,absolute,180,48.86,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
28,NCR-PRYJ-MKP,PYRJ-MIU,0.000,94.500,2026-09-12,00:45:00,03:45:00,absolute,180,42.01,medium,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
29,NCR-PRYJ-CITY,PYRJ-ALD,0.000,12.400,2026-09-12,00:45:00,03:45:00,absolute,180,50.74,low,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
30,NCR-PRYJ-MGS,ALD-MZP,627.000,709.250,2026-09-12,00:45:00,03:45:00,absolute,180,49.41,very_high,WTT-NCR,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
