defect_id,asset_id,department,defect_type,defect_severity,detected_date,detected_by,status,recommended_action,estimated_work_duration_min,max_allowed_delay_days,source_system,source_defect_id,created_at,updated_at
1,69,TRD,mast_foundation_tilt,major,2026-08-07,OMMS footplate,deferred,Attend mast foundation tilt on ALD-MZP km 681.588-682.568,180,10,CRIS-CMS,ALD-MZP-0001,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
2,35,TRD,auto_tension_failure,critical,2026-08-10,SSE/P.Way/PRYJ,open,Attend auto tension failure on PYRJ-ALD km 0.079-1.512,180,4,USFD,PYRJ-ALD-0002,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
3,93,P.Way,gauge_slack,major,2026-08-12,JE/P.Way/MZP,open,Attend gauge slack on ALD-MZP km 654.934-658.202,75,10,TRC,ALD-MZP-0003,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
4,73,S&T,LC_boom_sticking,major,2026-09-09,SSE/P.Way/PRYJ,acknowledged,Attend LC boom sticking on PYRJ-MIU km 12.512-12.553,80,8,USFD,PYRJ-MIU-0004,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
5,24,TRD,OHE_snap,critical,2026-08-25,JE/TRD/ALD,open,Attend OHE snap on ALD-MZP km 646.229-648.175,225,3,USFD,ALD-MZP-0005,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
6,42,P.Way,weed_growth,observational,2026-08-17,SSE/S&T/PRYJ,open,Attend weed growth on ALD-MZP km 654.996-658.227,60,47,TMS,ALD-MZP-0006,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
7,61,P.Way,rail_fracture,critical,2026-08-07,SSE/P.Way/PRYJ,open,Attend rail fracture on PYRJ-MIU km 78.439-80.952,195,3,TMS,PYRJ-MIU-0007,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
8,100,TRD,mast_foundation_tilt,major,2026-09-08,OMMS footplate,open,Attend mast foundation tilt on PYRJ-MIU km 14.943-15.577,165,8,CRIS-CMS,PYRJ-MIU-0008,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
9,3,TRD,jumper_hotspot,minor,2026-09-01,JE/P.Way/MZP,acknowledged,Attend jumper hotspot on ALD-MZP km 678.506-680.635,45,24,TMS,ALD-MZP-0009,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
10,73,S&T,track_circuit_failure,critical,2026-08-12,TRC recording,open,Attend track circuit failure on PYRJ-MIU km 12.512-12.553,90,4,CRIS-CMS,PYRJ-MIU-0010,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
11,78,TRD,jumper_hotspot,minor,2026-09-03,OMMS footplate,in_progress,Attend jumper hotspot on ALD-MZP km 681.064-681.817,45,23,TMS,ALD-MZP-0011,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
12,75,S&T,signal_blank,critical,2026-08-22,USFD team/PRYJ,in_progress,Attend signal blank on ALD-MZP km 663.030-663.054,120,5,CRIS-CMS,ALD-MZP-0012,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
13,10,TRD,jumper_hotspot,minor,2026-08-01,JE/P.Way/MZP,acknowledged,Attend jumper hotspot on PYRJ-MIU km 5.937-6.979,30,23,TRC,PYRJ-MIU-0013,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
14,16,S&T,EI_alarm,observational,2026-08-05,OMMS footplate,acknowledged,Attend EI alarm on PYRJ-MIU km 68.237-68.238,15,47,TRC,PYRJ-MIU-0014,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
15,55,P.Way,weed_growth,observational,2026-09-06,USFD team/PRYJ,acknowledged,Attend weed growth on PYRJ-MIU km 70.691-75.153,45,45,USFD,PYRJ-MIU-0015,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
16,63,P.Way,weld_failure,critical,2026-08-14,SSE/S&T/PRYJ,open,Attend weld failure on ALD-MZP km 675.314-676.369,180,3,USFD,ALD-MZP-0016,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
17,23,P.Way,ballast_deficiency,minor,2026-08-02,OMMS footplate,open,Attend ballast deficiency on PYRJ-ALD km 11.252-11.541,75,24,USFD,PYRJ-ALD-0017,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
18,94,P.Way,ballast_deficiency,minor,2026-08-21,OMMS footplate,acknowledged,Attend ballast deficiency on PYRJ-MIU km 36.669-40.936,45,21,FOIS-OMMS,PYRJ-MIU-0018,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
19,58,S&T,track_circuit_failure,critical,2026-08-12,USFD team/PRYJ,acknowledged,Attend track circuit failure on PYRJ-MIU km 20.569-20.585,105,4,TMS,PYRJ-MIU-0019,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
20,64,S&T,EI_alarm,observational,2026-08-21,JE/P.Way/MZP,acknowledged,Attend EI alarm on PYRJ-MIU km 38.129-38.198,60,46,FOIS-OMMS,PYRJ-MIU-0020,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
21,34,S&T,axle_counter_reset,major,2026-08-24,USFD team/PRYJ,deferred,Attend axle counter reset on PYRJ-MIU km 55.579-55.607,75,7,TRC,PYRJ-MIU-0021,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
22,25,TRD,OHE_snap,critical,2026-08-26,TRC recording,open,Attend OHE snap on PYRJ-MIU km 87.486-89.599,240,5,TRC,PYRJ-MIU-0022,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
23,98,P.Way,scabbing,major,2026-08-11,TRC recording,open,Attend scabbing on PYRJ-ALD km 2.927-6.515,90,10,TMS,PYRJ-ALD-0023,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
24,12,P.Way,ballast_deficiency,minor,2026-08-27,JE/TRD/ALD,deferred,Attend ballast deficiency on ALD-MZP km 693.782-698.449,45,23,TRC,ALD-MZP-0024,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
25,48,S&T,cable_fault,major,2026-08-06,USFD team/PRYJ,acknowledged,Attend cable fault on ALD-MZP km 698.894-698.931,135,10,TRC,ALD-MZP-0025,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
26,43,P.Way,weed_growth,observational,2026-08-12,SSE/S&T/PRYJ,open,Attend weed growth on PYRJ-MIU km 67.186-69.534,45,47,CRIS-CMS,PYRJ-MIU-0026,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
27,16,S&T,LC_boom_sticking,major,2026-08-29,SSE/S&T/PRYJ,open,Attend LC boom sticking on PYRJ-MIU km 68.237-68.238,35,8,CRIS-CMS,PYRJ-MIU-0027,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
28,28,P.Way,P&C_wear,minor,2026-08-24,TRC recording,deferred,Attend P&C wear on PYRJ-MIU km 14.852-19.408,65,21,CRIS-CMS,PYRJ-MIU-0028,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
29,38,S&T,track_circuit_failure,critical,2026-08-18,JE/P.Way/MZP,acknowledged,Attend track circuit failure on PYRJ-ALD km 6.008-6.031,90,2,TRC,PYRJ-ALD-0029,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
30,17,S&T,axle_counter_reset,major,2026-09-08,SSE/P.Way/PRYJ,deferred,Attend axle counter reset on PYRJ-ALD km 6.196-6.218,75,8,USFD,PYRJ-ALD-0030,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
31,14,S&T,EI_alarm,observational,2026-09-10,USFD team/PRYJ,open,Attend EI alarm on PYRJ-ALD km 9.484-9.545,45,48,USFD,PYRJ-ALD-0031,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
32,57,S&T,axle_counter_reset,major,2026-08-30,SSE/P.Way/PRYJ,acknowledged,Attend axle counter reset on ALD-MZP km 686.057-686.102,75,10,TMS,ALD-MZP-0032,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
33,9,P.Way,sleeper_decay,major,2026-08-10,SSE/P.Way/PRYJ,open,Attend sleeper decay on ALD-MZP km 640.014-640.917,60,8,CRIS-CMS,ALD-MZP-0033,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
34,73,S&T,axle_counter_reset,major,2026-09-05,JE/P.Way/MZP,acknowledged,Attend axle counter reset on PYRJ-MIU km 12.512-12.553,45,10,TRC,PYRJ-MIU-0034,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
35,77,P.Way,scabbing,major,2026-08-08,JE/TRD/ALD,open,Attend scabbing on PYRJ-ALD km 6.523-9.156,90,10,FOIS-OMMS,PYRJ-ALD-0035,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
36,76,TRD,auto_tension_failure,critical,2026-08-22,USFD team/PRYJ,in_progress,Attend auto tension failure on PYRJ-MIU km 56.762-58.465,135,2,CRIS-CMS,PYRJ-MIU-0036,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
37,81,S&T,track_circuit_failure,critical,2026-08-25,TRC recording,acknowledged,Attend track circuit failure on ALD-MZP km 655.196-655.213,60,3,CRIS-CMS,ALD-MZP-0037,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
38,23,P.Way,weld_failure,critical,2026-08-31,SSE/P.Way/PRYJ,open,Attend weld failure on PYRJ-ALD km 11.252-11.541,180,5,TRC,PYRJ-ALD-0038,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
39,61,P.Way,ballast_deficiency,minor,2026-09-08,JE/P.Way/MZP,open,Attend ballast deficiency on PYRJ-MIU km 78.439-80.952,60,23,USFD,PYRJ-MIU-0039,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
40,10,TRD,mast_foundation_tilt,major,2026-08-27,SSE/S&T/PRYJ,open,Attend mast foundation tilt on PYRJ-MIU km 5.937-6.979,180,10,TMS,PYRJ-MIU-0040,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
41,70,P.Way,scabbing,major,2026-09-01,SSE/S&T/PRYJ,acknowledged,Attend scabbing on PYRJ-MIU km 85.652-87.956,60,7,TMS,PYRJ-MIU-0041,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
42,22,P.Way,ballast_deficiency,minor,2026-08-03,TRC recording,open,Attend ballast deficiency on PYRJ-MIU km 53.950-58.375,60,24,TMS,PYRJ-MIU-0042,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
43,60,S&T,LC_boom_sticking,major,2026-08-22,TRC recording,acknowledged,Attend LC boom sticking on ALD-MZP km 631.123-631.149,80,9,TRC,ALD-MZP-0043,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
44,70,P.Way,P&C_wear,minor,2026-08-13,SSE/P.Way/PRYJ,open,Attend P&C wear on PYRJ-MIU km 85.652-87.956,35,24,FOIS-OMMS,PYRJ-MIU-0044,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
45,78,TRD,insulator_flashover,major,2026-09-09,SSE/P.Way/PRYJ,open,Attend insulator flashover on ALD-MZP km 681.064-681.817,75,7,FOIS-OMMS,ALD-MZP-0045,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
46,74,TRD,OHE_snap,critical,2026-08-30,JE/TRD/ALD,acknowledged,Attend OHE snap on PYRJ-ALD km 9.039-11.159,240,4,CRIS-CMS,PYRJ-ALD-0046,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
47,75,S&T,cable_fault,major,2026-08-01,OMMS footplate,acknowledged,Attend cable fault on ALD-MZP km 663.030-663.054,150,7,USFD,ALD-MZP-0047,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
48,45,P.Way,sleeper_decay,major,2026-08-20,SSE/S&T/PRYJ,open,Attend sleeper decay on ALD-MZP km 654.211-656.263,60,8,FOIS-OMMS,ALD-MZP-0048,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
49,53,P.Way,P&C_wear,minor,2026-08-23,TRC recording,open,Attend P&C wear on PYRJ-ALD km 7.420-11.598,80,21,USFD,PYRJ-ALD-0049,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
50,12,P.Way,weed_growth,observational,2026-08-25,SSE/S&T/PRYJ,acknowledged,Attend weed growth on ALD-MZP km 693.782-698.449,15,48,TRC,ALD-MZP-0050,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
51,1,S&T,LC_boom_sticking,major,2026-08-07,JE/TRD/ALD,acknowledged,Attend LC boom sticking on PYRJ-MIU km 89.088-89.106,80,7,CRIS-CMS,PYRJ-MIU-0051,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
52,67,TRD,insulator_flashover,major,2026-08-02,OMMS footplate,open,Attend insulator flashover on PYRJ-MIU km 87.135-88.413,105,10,TMS,PYRJ-MIU-0052,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
53,27,TRD,insulator_flashover,major,2026-08-06,JE/P.Way/MZP,open,Attend insulator flashover on ALD-MZP km 637.323-639.172,90,10,USFD,ALD-MZP-0053,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
