task_id,asset_id,department,task_type,linked_defect_id,priority_score,failure_prob_7d,failure_prob_30d,urgency_score,estimated_duration_min,earliest_start_date,latest_end_date,preferred_shift,status,source_system,created_at,updated_at
1,100,TRD,corrective_mast_foundation_tilt,172,67.76,0.1606,0.3487,64.48,210,2026-09-10,2026-09-18,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
2,70,P.Way,corrective_ballast_deficiency,98,47.05,0.0911,0.2883,46.55,30,2026-09-10,2026-10-02,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
3,94,P.Way,corrective_gauge_slack,134,66.49,0.1728,0.3552,62.28,90,2026-09-10,2026-09-19,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
4,26,S&T,corrective_cable_fault,76,66.08,0.2138,0.3323,63.24,120,2026-09-10,2026-09-20,any,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
5,56,P.Way,corrective_weld_failure,123,90.65,0.365,0.5537,85.77,180,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
6,24,TRD,corrective_OHE_snap,5,84.96,0.3591,0.454,77.17,225,2026-09-10,2026-09-17,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
7,16,S&T,corrective_LC_boom_sticking,27,67.47,0.1645,0.3555,64.93,35,2026-09-10,2026-09-18,night,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
8,73,S&T,corrective_LC_boom_sticking,4,75.2,0.2057,0.3104,74.23,80,2026-09-10,2026-09-18,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
9,55,P.Way,corrective_weed_growth,15,20.56,0.0586,0.2723,12.92,45,2026-09-10,2026-10-25,any,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
10,69,TRD,corrective_contact_wire_wear,90,67.49,0.1701,0.363,64.71,105,2026-09-10,2026-09-20,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
11,38,S&T,corrective_track_circuit_failure,29,85.08,0.3535,0.4439,80.77,90,2026-09-10,2026-09-17,day,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
12,83,P.Way,corrective_weld_failure,196,90.35,0.3296,0.5027,85.66,165,2026-09-10,2026-09-17,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
13,22,P.Way,corrective_P&C_wear,153,44.04,0.0672,0.2448,43.62,65,2026-09-10,2026-10-02,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
14,36,S&T,corrective_aspect_dim,105,44.61,0.037,0.2412,44.57,55,2026-09-10,2026-10-04,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
15,46,S&T,corrective_EI_alarm,170,27.15,0.0185,0.2555,20.12,30,2026-09-10,2026-10-25,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
16,44,S&T,corrective_track_circuit_failure,177,84.39,0.3875,0.5017,79.23,105,2026-09-10,2026-09-17,day,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
17,82,P.Way,corrective_gauge_slack,197,65.07,0.1902,0.3472,59.29,75,2026-09-10,2026-09-17,day,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
18,47,S&T,corrective_aspect_dim,183,46.96,0.0423,0.2687,45.55,40,2026-09-10,2026-10-04,day,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
19,74,TRD,corrective_jumper_hotspot,114,47.97,0.0578,0.2069,40.47,75,2026-09-10,2026-10-02,day,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
20,23,P.Way,corrective_gauge_slack,135,75.11,0.2114,0.2632,70.57,120,2026-09-10,2026-09-20,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
21,74,TRD,corrective_mast_foundation_tilt,141,75.8,0.1699,0.4177,71.45,210,2026-09-10,2026-09-18,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
22,5,S&T,corrective_axle_counter_reset,162,75.26,0.2096,0.3532,73.72,60,2026-09-10,2026-09-20,night,scheduled,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
23,11,TRD,corrective_dropper_missing,158,17.95,0.0221,0.1236,16.46,60,2026-09-10,2026-10-26,any,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
24,69,TRD,corrective_mast_foundation_tilt,1,73.49,0.1897,0.3912,72.09,180,2026-09-10,2026-09-20,any,scheduled,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
25,74,TRD,corrective_auto_tension_failure,129,92.76,0.3779,0.5309,92.07,180,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
26,98,P.Way,corrective_scabbing,23,66.22,0.1598,0.2746,64.23,90,2026-09-10,2026-09-20,night,pending,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
27,62,P.Way,corrective_P&C_wear,57,38.83,0.0828,0.3236,36.41,50,2026-09-10,2026-10-04,any,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
28,100,TRD,corrective_dropper_missing,79,16.14,0.0358,0.2243,15.64,45,2026-09-10,2026-10-26,night,pending,CRIS-CMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
29,71,P.Way,corrective_rail_fracture,55,85.68,0.3484,0.4989,78.52,165,2026-09-10,2026-09-17,any,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
30,46,S&T,corrective_axle_counter_reset,70,67.73,0.1582,0.3914,65.37,60,2026-09-10,2026-09-20,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
31,34,S&T,corrective_signal_blank,100,84.63,0.3293,0.41,78.65,120,2026-09-10,2026-09-17,night,scheduled,TMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
32,35,TRD,corrective_dropper_missing,178,20.99,0.0284,0.1726,16.69,60,2026-09-10,2026-10-25,night,pending,USFD,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
33,60,S&T,corrective_LC_boom_sticking,43,66.62,0.1673,0.3683,59.64,80,2026-09-10,2026-09-19,night,scheduled,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
34,12,P.Way,corrective_ballast_deficiency,24,41.36,0.0793,0.1449,36.85,45,2026-09-10,2026-10-03,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
35,61,P.Way,corrective_P&C_wear,101,42.57,0.0654,0.2299,41.37,35,2026-09-10,2026-10-04,night,pending,TRC,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
36,80,TRD,corrective_insulator_flashover,80,70.24,0.1581,0.2492,65.58,60,2026-09-10,2026-09-17,night,scheduled,FOIS-OMMS,2026-09-10T08:16:21+00:00,2026-09-10T08:16:21+00:00
